Date,Time,GHI,GTI,TEMP,PVOUT,WS,WD,RH,PREC,AP,PWAT,SWE
01.12.2019,07:07,182,192,22.3,7463.53,4.5,338,84.9,0,999.2,40,581.11
01.12.2019,07:22,239,257,22.6,10237.608,4.5,339,83.8,0,999,39.6,581.11
01.12.2019,07:37,308,329,22.9,13447.643,4.5,341,82.6,0,998.8,39.3,581.11
01.12.2019,07:52,317,336,23.2,13831.06,4.4,343,81.4,0,998.7,39.1,581.11
01.12.2019,08:07,417,445,23.5,18464.328,4.4,344,80.3,0,998.5,39,581.11
01.12.2019,08:22,461,495,23.8,20615.936,4.6,348,79,0,998.5,38.7,581.11
01.12.2019,08:37,521,558,24.1,23174.258,4.7,351,77.7,0,998.5,38.5,581.11
01.12.2019,08:52,557,596,24.4,24745.295,4.9,354,76.4,0,998.5,38.2,581.11
01.12.2019,09:07,527,557,24.7,23101.967,5,357,75.1,0,998.5,38,581.11
01.12.2019,09:22,495,516,24.9,21413.184,5,0,74.2,0,998.5,37.9,581.11
01.12.2019,09:37,558,588,25.1,24288.98,5,3,73.4,0,998.5,37.9,581.11
01.12.2019,09:52,618,651,25.3,26797.836,5.1,7,72.6,0,998.5,37.9,581.11
01.12.2019,10:07,631,666,25.5,27352.328,5.1,10,71.8,0,998.5,38,581.11
01.12.2019,10:22,694,733,25.6,29944.539,5.1,13,71.7,0,998.5,38.1,581.11
01.12.2019,10:37,673,711,25.8,29026.949,5.2,16,71.5,0,998.5,38.3,581.11
01.12.2019,10:52,538,567,25.9,23435.924,5.3,18,71.4,0,998.5,38.5,581.11
01.12.2019,11:07,654,696,26,28497.955,5.4,21,71.3,0,998.5,38.7,581.11
01.12.2019,11:22,784,836,26,33775.086,5.9,24,71.7,0,998.4,39.1,581.11
01.12.2019,11:37,814,871,26,35089.43,6.4,26,72.1,0,998.3,39.5,581.11
01.12.2019,11:52,816,873,26,35186.344,6.9,27,72.5,0,998.3,39.9,581.11
01.12.2019,12:07,817,879,26,35398.715,7.4,29,72.9,0,998.2,40.2,581.11
01.12.2019,12:22,809,868,26,34996.324,7.6,30,73.1,0,998,40.3,581.11
01.12.2019,12:37,729,780,25.9,31711.111,7.7,32,73.4,0,997.8,40.4,581.11
01.12.2019,12:52,716,767,25.9,31223.23,7.9,33,73.6,0,997.7,40.4,581.11
01.12.2019,13:07,711,763,25.9,31127.555,8.1,34,73.8,0,997.5,40.4,581.11
01.12.2019,13:22,694,747,25.8,30520.289,7.9,34,74,0,997.2,40.4,581.11
01.12.2019,13:37,659,711,25.7,29174.844,7.8,34,74.1,0,996.9,40.3,581.11
01.12.2019,13:52,633,683,25.6,28091.855,7.6,33,74.2,0,996.7,40.2,581.11
01.12.2019,14:07,563,609,25.6,25158.324,7.5,33,74.3,0,996.4,40.1,581.11
01.12.2019,14:22,541,587,25.5,24256.736,7.3,33,74.6,0,996.4,39.8,581.11
01.12.2019,14:37,479,521,25.4,21559.771,7,33,74.8,0,996.3,39.6,581.11
01.12.2019,14:52,444,481,25.3,19875.396,6.8,33,75,0,996.3,39.4,581.11
01.12.2019,15:07,362,392,25.2,16120.75,6.5,33,75.3,0,996.2,39.2,581.11
01.12.2019,15:22,289,312,25,12677.56,6.3,32,75.9,0,996.3,39.3,581.11
01.12.2019,15:37,228,242,24.9,9673.524,6.2,31,76.5,0,996.3,39.3,581.11
01.12.2019,15:52,174,183,24.8,7101.142,6,31,77.1,0,996.4,39.4,581.11
01.12.2019,16:07,129,136,24.6,5020.36,5.8,30,77.7,0,996.5,39.5,581.11
01.12.2019,16:22,69,70,24.4,2277.407,5.7,29,78.4,0,996.7,39.5,581.11
01.12.2019,16:37,42,41,24.1,1169.005,5.7,28,79.2,0,996.9,39.5,581.11
01.12.2019,16:52,20,19,23.8,365.348,5.6,27,79.9,0,997.1,39.5,581.11
01.12.2019,17:07,5,5,23.5,0,5.6,25,80.6,0,997.3,39.5,581.11
01.12.2019,17:22,0,0,23.3,0,5.4,22,80.8,0,997.6,39.3,581.11
